Time,X,Y,Z
1718247428.8157465,-0.0026512732729315758,-2.3736765384674072,-2.873976707458496
1718247428.9170077,-0.002952227368950844,-2.374483823776245,-2.8753910064697266
1718247429.0177848,-0.0027877057436853647,-2.3740737438201904,-2.874708890914917
1718247429.1181703,-0.0029853086452931166,-2.374462366104126,-2.87518310546875
1718247429.218888,-0.0027982820756733418,-2.3751299381256104,-2.876002073287964
1718247429.3193161,-0.0027582498732954264,-2.375659465789795,-2.8766465187072754
1718247429.4195209,-0.002817797474563122,-2.37506103515625,-2.8758187294006348
1718247429.5201817,-0.0028164389077574015,-2.375399351119995,-2.876412868499756
1718247429.6205492,-0.002740492345765233,-2.3747432231903076,-2.87556529045105
1718247429.7208161,-0.0027911094948649406,-2.375594139099121,-2.8765852451324463
1718247429.8216188,-0.002838124753907323,-2.3749234676361084,-2.8755810260772705
1718247429.9222615,-0.0026571196503937244,-2.374452829360962,-2.8751063346862793
1718247430.0226343,-0.0028657217044383287,-2.3739538192749023,-2.8747236728668213
1718247430.122894,-0.002739735646173358,-2.374422550201416,-2.875037670135498
1718247430.2236333,-0.002870655618607998,-2.374319314956665,-2.875041961669922
1718247430.3238337,-0.002873301273211837,-2.373556613922119,-2.8741016387939453
1718247430.4242551,-0.002880361396819353,-2.3732528686523438,-2.873708724975586
1718247430.524812,-0.002704610815271735,-2.3728036880493164,-2.873133659362793
1718247430.6254072,-0.0028157192282378674,-2.372718334197998,-2.8730785846710205
1718247430.7258391,-0.0028566604014486074,-2.3723883628845215,-2.8726253509521484
1718247430.827021,-0.0025519435293972492,-2.372849464416504,-2.873379945755005
1718247430.9274652,-0.0028083762153983116,-2.3730690479278564,-2.8733439445495605
1718247431.0280604,-0.0028410865925252438,-2.3730063438415527,-2.8734281063079834
1718247431.1286693,-0.0028219488449394703,-2.3726894855499268,-2.8730831146240234
1718247431.2291095,-0.0026410571299493313,-2.3726155757904053,-2.8727738857269287
1718247431.3294318,-0.0028404344338923693,-2.3727188110351562,-2.8731207847595215
1718247431.4297268,-0.0028839886654168367,-2.37292742729187,-2.873023509979248
1718247431.5300946,-0.0028809921350330114,-2.3733880519866943,-2.873750925064087
1718247431.630534,-0.002816940424963832,-2.3730669021606445,-2.8735122680664062
1718247431.7307324,-0.0027754383627325296,-2.3738253116607666,-2.8744189739227295
1718247431.8309095,-0.002868483541533351,-2.3737332820892334,-2.8743717670440674
1718247431.9313405,-0.002755214925855398,-2.373173475265503,-2.873629093170166
1718247432.0316641,-0.002775846514850855,-2.372898817062378,-2.8731441497802734
1718247432.132663,-0.0028580983635038137,-2.3728623390197754,-2.873166084289551
1718247432.2333555,-0.0027612862177193165,-2.3728928565979004,-2.87330961227417
1718247432.334106,-0.0028286853339523077,-2.373086929321289,-2.872919797897339
1718247432.4344754,-0.0028844536282122135,-2.373274326324463,-2.8737545013427734
1718247432.5348105,-0.00286038382910192,-2.3741023540496826,-2.874943256378174
1718247432.6351998,-0.002733745379373431,-2.3742990493774414,-2.875012159347534
1718247432.7358391,-0.002708132378757,-2.3742759227752686,-2.8748786449432373
1718247432.8363416,-0.002881039399653673,-2.3741393089294434,-2.8746719360351562
1718247432.9374921,-0.0027737284544855356,-2.373960494995117,-2.874643564224243
1718247433.0389025,-0.002765147015452385,-2.373575210571289,-2.8739800453186035
1718247433.1396863,-0.0027578130830079317,-2.3742806911468506,-2.874934434890747
1718247433.2401538,-0.002831702819094062,-2.3745481967926025,-2.8752925395965576
1718247433.340461,-0.002862767782062292,-2.3745603561401367,-2.875051975250244
1718247433.4409251,-0.0026408296544104815,-2.3750052452087402,-2.875964879989624
1718247433.541297,-0.002732153981924057,-2.374925374984741,-2.8757636547088623
1718247433.6418066,-0.00275187729857862,-2.3744399547576904,-2.8752450942993164
1718247433.7421672,-0.002691319677978754,-2.3742735385894775,-2.874868869781494
1718247433.8426282,-0.00281910365447402,-2.374115228652954,-2.8746888637542725
1718247433.9432316,-0.002702906262129545,-2.3739633560180664,-2.8746256828308105
1718247434.043447,-0.0029393036384135485,-2.3738207817077637,-2.8745148181915283
1718247434.14407,-0.002827636431902647,-2.374148368835449,-2.87469482421875
1718247434.2444425,-0.002606441732496023,-2.3734354972839355,-2.8738338947296143
1718247434.3450527,-0.0027622468769550323,-2.3733413219451904,-2.873845338821411
1718247434.4458687,-0.0029490634333342314,-2.3732383251190186,-2.873792886734009
1718247434.5461445,-0.0027980972081422806,-2.3724279403686523,-2.8724894523620605
1718247434.646462,-0.002900382736697793,-2.371896743774414,-2.872117757797241
1718247434.7470167,-0.002764711854979396,-2.3722355365753174,-2.872676372528076
1718247434.8475525,-0.002695737173780799,-2.3733696937561035,-2.873674154281616
1718247434.9477415,-0.002735038986429572,-2.37368106842041,-2.873976707458496
1718247435.0479503,-0.002684191334992647,-2.374279499053955,-2.8750154972076416
1718247435.1488502,-0.0028214554768055677,-2.3743011951446533,-2.875162124633789
1718247435.249284,-0.002781447023153305,-2.3743648529052734,-2.8750452995300293
1718247435.3495247,-0.0028177218046039343,-2.3746676445007324,-2.8752663135528564
1718247435.449781,-0.002655936637893319,-2.3748230934143066,-2.8757126331329346
1718247435.5504465,-0.0029222944285720587,-2.374189615249634,-2.874830722808838
1718247435.6509433,-0.0027428208850324154,-2.374431848526001,-2.875321865081787
1718247435.7514727,-0.0027116709388792515,-2.3747036457061768,-2.875495433807373
1718247435.8521292,-0.002846027258783579,-2.374518394470215,-2.874948740005493
1718247435.952453,-0.002834940794855356,-2.3746821880340576,-2.8755335807800293
1718247436.0530715,-0.0027982285246253014,-2.3743534088134766,-2.874911069869995
1718247436.15368,-0.0027345053385943174,-2.373563051223755,-2.874053955078125
1718247436.2543647,-0.00279804365709424,-2.3731436729431152,-2.8736164569854736
